algorithm,dimension,runtime,ess,ess_per_sec,rhat,divergences,acceptance_rate,seed,experiment,parameterisation,prior_std,tau_scale
RWM,200,1.4489450454711914,13.04303408599088,9.00174518471771,1.3130037621761994,,0.217,123,isotropic,,,
HMC,200,2.0385384559631348,284.739374953543,139.67819646503264,1.0900515619689486,0.0,,123,isotropic,,,
NUTS,200,2.8121931552886963,18620.73966621505,6621.429837134878,1.0009374187435043,0.0,,123,isotropic,,,
RWM,500,1.6098713874816895,8.192411312408845,5.088860747580698,1.5679823682387077,,0.18416666666666667,123,isotropic,,,
HMC,500,2.051903486251831,306.10574008714383,149.1813538687927,1.0870616353795217,0.0,,123,isotropic,,,
NUTS,500,3.064408302307129,19222.717786714427,6272.897045815352,1.000839578517358,0.0,,123,isotropic,,,
RWM,2,1.6266117095947266,97.31262502891049,59.825356263515474,1.062360769334819,,0.374,18,funnel,centred,,
HMC,2,2.132765293121338,4910.4012988951445,2302.363656578774,1.0155126481175982,870.0,,18,funnel,centred,,
NUTS,2,2.794588565826416,1125.1130448512483,402.6041824580821,1.0680961048825652,717.0,,18,funnel,centred,,
RWM,5,1.7247509956359863,39.926461688148926,23.149116474883613,1.525520202360222,,0.19349999999999998,18,funnel,centred,,
HMC,5,2.263765811920166,4406.994020787355,1946.7535014362927,1.0672159604061486,995.0,,18,funnel,centred,,
NUTS,5,3.287034034729004,2987.3563780139357,908.8303760932081,1.132027955391521,533.0,,18,funnel,centred,,
RWM,10,1.8990294933319092,47.99493143027383,25.273399701689286,1.2334608274924501,,0.2921666666666667,18,funnel,centred,,
HMC,10,2.6355512142181396,4144.486683066418,1572.5312643169098,1.0422229593859595,103.0,,18,funnel,centred,,
NUTS,10,3.507291555404663,8270.58964506723,2358.1129525209913,1.009787653081179,55.0,,18,funnel,centred,,
RWM,30,2.017075777053833,55.8491764802042,27.68818956409175,1.1027417442640548,,0.13616666666666666,18,funnel,centred,,
HMC,30,2.5270559787750244,438.5893821419306,173.5574462242559,1.0967210792361777,4.0,,18,funnel,centred,,
NUTS,30,3.190765142440796,11416.45235680541,3577.966991350646,1.0574337146079287,1.0,,18,funnel,centred,,
RWM,100,1.8305034637451172,7.707751350889631,4.210727542203041,1.705591333149562,,0.0125,18,funnel,centred,,
HMC,100,2.4463319778442383,1493.6429345482572,610.5642848459547,1.3440420675387987,0.0,,18,funnel,centred,,
NUTS,100,3.452479124069214,2402.8357554256854,695.9740143464267,1.1321782613507179,5.0,,18,funnel,centred,,
RWM,200,1.660691261291504,5.904582396984665,3.555496758857349,2.023677415143487,,0.013916666666666667,18,funnel,centred,,
HMC,200,2.3507487773895264,2168.253949717673,922.367362507145,1.584261699837546,0.0,,18,funnel,centred,,
NUTS,200,3.1976027488708496,10512.217392696222,3287.530759225279,1.204654072552469,0.0,,18,funnel,centred,,
RWM,500,1.884683609008789,4.717347642626823,2.5029918125662567,2.999703919730958,,0.007583333333333333,18,funnel,centred,,
HMC,500,2.7766854763031006,3289.1987636042154,1184.5773645142838,1.2340364663417511,0.0,,18,funnel,centred,,
NUTS,500,3.416407346725464,14374.551901103227,4207.50526569405,1.1322911612719313,0.0,,18,funnel,centred,,
RWM,2,1.8339288234710693,73.78645169841079,40.23408692533415,1.0411400882512476,,0.39541666666666664,42,funnel,centred,,
HMC,2,2.227552890777588,4363.574656684782,1958.9095615869114,1.0091628993649602,455.0,,42,funnel,centred,,
NUTS,2,2.987173318862915,451.23903638142673,151.05887346141452,1.0903039844866156,1186.0,,42,funnel,centred,,
RWM,5,1.4481394290924072,63.92551344557702,44.14320345219871,1.1988585746578355,,0.28475,42,funnel,centred,,
HMC,5,2.4772279262542725,6545.408381031002,2642.230983940214,1.0162397173537923,184.0,,42,funnel,centred,,
NUTS,5,3.096285343170166,5961.540363109368,1925.3846795029488,1.01640615842431,97.0,,42,funnel,centred,,
RWM,10,1.5535755157470703,21.969423037521302,14.14120061422108,1.835133411065197,,0.24875000000000003,42,funnel,centred,,
HMC,10,2.421410083770752,5449.532636148994,2250.56163459214,1.0146783836883035,43.0,,42,funnel,centred,,
NUTS,10,3.110516309738159,7999.595129794739,2571.790125243914,1.0088363102583264,33.0,,42,funnel,centred,,
